player_name,clean_name,role,matches,goals,assists,avg_vote
Britschgi,britschgi,D,29,0.0,2.0,5.76
Hojholt,hojholt,C,17,0.0,0.0,5.62
Vural,vural,C,15,0.0,0.0,5.8
Ziolkowski,ziolkowski,D,18,0.0,0.0,5.97
Nkounkou,nkounkou,D,11,0.0,1.0,5.86
Njie,njie,A,15,1.0,1.0,5.87
Palma,palma,D,5,0.0,0.0,5.6
Gueye,gueye,A,19,1.0,0.0,5.84
Cavuoti,cavuoti,C,4,0.0,0.0,6.0
Pavoletti,pavoletti,A,13,1.0,0.0,6.0
Barbieri,barbieri,D,29,0.0,1.0,5.98
Faye,faye,D,8,0.0,0.0,5.75
Otoa,otoa,D,13,0.0,0.0,5.69
Rugani,rugani,D,12,0.0,0.0,5.79
Buffon L.,buffon l,A,4,0.0,0.0,6.0
Dembelè A.,dembele a,D,2,0.0,0.0,5.5
Kabasele,kabasele,D,30,3.0,0.0,5.98
Ravaglia F.,ravaglia f,P,17,0.0,0.0,6.21
Moreno Alb.,moreno alb,D,19,2.0,1.0,6.05
Lordkipanidze D.,lordkipanidze d,C,1,0.0,0.0,6.0
Cornet,cornet,C,8,0.0,0.0,5.44
Vecino,vecino,C,13,0.0,1.0,5.92
Troilo,troilo,D,21,1.0,0.0,5.79
Albiol,albiol,D,8,0.0,1.0,5.62
Bailey,bailey,C,7,0.0,0.0,5.79
Okoye,okoye,P,30,0.0,1.0,6.07
Valentini N.,valentini n,D,21,0.0,0.0,5.81
Liteta,liteta,C,4,0.0,0.0,5.75
Diao,diao,A,17,2.0,1.0,6.0
Folino,folino,D,17,1.0,0.0,5.85
Sabiri,sabiri,C,1,0.0,0.0,5.5
Onana J.,onana j,C,3,0.0,0.0,5.83
Perin,perin,P,9,0.0,0.0,6.11
Maleh,maleh,C,23,1.0,0.0,5.72
Hernani,hernani,C,4,0.0,0.0,5.75
Paleari,paleari,P,29,0.0,0.0,6.09
Brambilla,brambilla,ALL,1,0.0,0.0,7.0
Begic,begic,C,1,0.0,0.0,6.0
Cremaschi,cremaschi,C,8,0.0,0.0,6.0
Ghilardi,ghilardi,D,23,0.0,0.0,5.98
Criscito,criscito,ALL,1,0.0,0.0,6.0
Spalletti,spalletti,ALL,29,0.0,0.0,6.26
Pessina Mas.,pessina mas,P,4,0.0,0.0,6.12
Vanoli,vanoli,ALL,28,0.0,0.0,5.96
De Rossi,de rossi,ALL,28,0.0,0.0,6.21
Palladino,palladino,ALL,27,0.0,0.0,6.15
Sulemana I.,sulemana i,C,19,1.0,0.0,5.71
Miretti,miretti,C,23,1.0,1.0,5.98
Mazzocchi,mazzocchi,D,16,0.0,1.0,5.97
Corvi,corvi,P,17,0.0,0.0,6.18
Kolasinac,kolasinac,D,19,0.0,0.0,6.03
